,rs_song,nme_song,rs_artist,nme_artist,rs_rank,nme_rank,rs_year
0,like a rolling stone,like a rolling stone,bob dylan,bob dylan,1,49,1961
1,imagine,imagine,john lennon,john lennon,3,476,1971
2,what’s going on,what's going on,marvin gaye,marvin gaye,4,202,1971
3,respect,respect,aretha franklin,aretha franklin,5,226,1967
4,good vibrations,good vibrations,the beach boys,the beach boys,6,10,1966
5,hey jude,hey jude,the beatles,the beatles,8,77,1968
6,smells like teen spirit,smells like teen spirit,nirvana,nirvana,9,1,1991
7,my generation,my generation,the who,the who,11,70,1965
8,a change is gonna come,a change is gonna come,sam cooke,sam cooke,12,129,1964
9,london calling,london calling,the clash,the clash,15,32,1980
10,i want zo hold your hand,i want to hold your hand,the beatles,the beatles,16,156,1963
11,purple haze,purple haze,jimmy hendrix,the jimi hendrix experience,17,159,1967
12,hound dog,hound dog,elvis presley,elvis presley,19,263,1956
13,born to run,born to run,bruce springsteen,bruce springsteen,21,54,1975
14,be my baby,be my baby,the ronettes,the ronettes,22,9,1963
15,in my life,a day in the life,the beatles,the beatles,23,17,1965
16,god only knows,god only knows,the beach boys,the beach boys,25,14,1966
17,a day in a life,a day in the life,the beatles,the beatles,26,17,1967
18,sitting on the dock of the bay,(sittin' on) the dock of the bay,otis redding,otis redding,28,150,1968
19,sympathy for the devil,sympathy for the devil,the rolling stones,the rolling stones,32,227,1968
20,river deep - mountain high,river deep mountain high,tina turner,ike and tina turner,33,37,1966
21,light my fire,light my fire,the doors,the doors,35,199,1967
22,no woman no cry,no woman no cry,bob marley,bob marley,37,139,1975
23,gimme shelter,gimme shelter,the rolling stones,the rolling stones,38,29,1969
24,dancing in the street,dancing in the street,martha & the vandellas,martha reeves & the vandellas,40,152,1964
25,waterloo sunset,waterloo sunset,the kinks,the kinks,42,23,1968
26,heroes,“heroes”,david bowie,david bowie,46,15,1977
27,all along the watchtower,all along the watchtower,jimi hendrix,jimi hendrix,48,315,1968
28,the tracks of my tears,the tracks of my tears,smokey robinson & the miracles,smokey robinson & the miracles,50,178,1965
29,the message,the message,grandmaster flash,grandmaster flash & the furious five,51,97,1980
30,when doves cry,when doves cry,prince,prince,52,113,1984
31,anarchy in the u.k.,anarchy in the uk,sex pistols,sex pistols,53,84,1976
32,louie louie,louie louie,the kingsmen,the kingsman,55,157,1963
33,billie jean,billie jean,michael jackson,michael jackson,58,57,1983
34,she loves you,she loves you,the beatles,the beatles,64,280,1963
35,jailhouse rock,jailhouse rock,elvis presley,elvis presley,67,235,1958
36,tangled up in blue,tangled up in blue,bob dylan,bob dylan,68,277,1975
37,papa's got a brand new bag,papa's got a brand new bag,james brown,james brown,72,154,1966
38,superstition,superstition,stevie wonder,stevie wonder,74,103,1973
39,whole lotta love,whole lotta love,led zeppelin,led zeppelin,75,452,1969
40,strawberry fields forever,strawberry fields forever,the beatles,the beatles,76,35,1967
41,i heard it through the grapevine,i heard it through the grapevine,marvin gaye,marvin gaye,80,46,1968
42,you really got me,you really got me,the kinks,the kinks,82,219,1964
43,crazy,crazy,patsy cline,patsy kline,85,203,1961
44,ring of fire,ring of fire,johnny cash,johnny cash,87,318,1963
45,california dreamin',california dreaming,the mamas and the papas,the mamas and the papas,89,343,1967
46,suspicious minds,suspicious minds,elvis presley,elvis presley,91,58,1969
47,blitzkrieg bop,blitzkrieg bop,the ramones,ramones,92,237,1976
48,roll over beethoven,roll over beethoven,chuck berry,chuck berry,97,177,1956
49,you can’t always get what you want,you can't always get what you want,rolling stones,the rolling stones,100,297,1969
50,voodoo child,voodoo child (slight return),jimi hendrix,the jimi hendrix experience,101,246,1968
51,i want you back,i want you back,the jackson 5,the jacksons,120,163,1969
52,stand by me,stand by me,ben e. king,ben e king,121,65,1961
53,it's a man's man's world,it's a man's man's man's world,james brown,james brown,123,288,1966
54,jumpin' jack flash,jumpin' jack flash,rolling stones,the rolling stones,124,131,1968
55,changes,changes,david bowie,david bowie,127,162,1971
56,won't get fooled again,won't get fooled again,the who,the who,133,175,1971
57,while my guitar gently weeps,while my guitar gently weeps,the beatles,the beatles,135,382,1968
58,eleanor rigby,eleanor rigby,the beatles,the beatles,137,11,1966
59,family affair,family affair,sly and the family stone,sly and the family stone,138,294,1971
60,purple rain,purple rain,prince,prince,143,123,1984
61,rock lobster,sex and drugs and rock and roll,the b-52's,ian dury and the blockheads,146,358,1979
62,lust for life,lust for life,iggy pop,iggy pop,147,459,1977
63,eight miles high,eight miles high,the byrds,the byrds,150,348,1966
64,rave on,rave on,buddy holly,buddy holly,154,332,1958
65,i'm waiting for the man,i'm waiting for the man,lou reed the velvet underground,the velvet underground,159,201,1967
66,nothing compares 2 u,nothing compares 2 u,sinead o'connor,sinead o' connor,162,38,1990
67,lose yourself,lose yourself,eminem,eminem,166,88,2002
68,papa was a rollin' stone,papa was a rolling stone,the temptations,the temptations,168,310,1972
69,losing my religion,loosing my religion,r.e.m.,r.e.m,169,101,1991
70,god save the queen,god save the queen,the sex pistols,sex pistols,173,27,1977
71,paint it black,paint it black,rolling stones,the rolling stones,174,136,1966
72,i fought the law,i fought the law,bobby fuller four,bobby fuller four,175,441,1966
73,love will tear us apart,love will tear us apart,joy division,joy division,179,2,1980
74,hey ya,hey ya!,outkast,outkast,180,18,2003
75,green onions,green onions,booker t & mgs,booker t,181,169,1962
76,wichita lineman,wichita lineman,glen campbell,glen campbell,192,130,1968
77,sweet child o mine,sweet child o' mine,guns n roses,guns 'n' roses,196,471,1987
78,hey joe,hey joe,jimi hendrix,the jimi hendrix experience,198,496,1966
79,come together,come together,the beatles,the beatles,202,336,1969
80,reach out i'll be there,reach out and i'll be there,the four tops,the four tops,206,274,1966
81,1999,1999,prince,prince,212,313,1982
82,walk on the wild side,walk on the wild side,lou reed,lou reed,221,50,1972
83,oh pretty woman,oh pretty woman,roy orbison,roy orbison,222,387,1964
84,sexual healing,sexual healing,marvin gaye,marvin gaye,231,326,1982
85,i'll feel a whole lot better,i'll feel a whole lot better,the byrds,the byrds,234,379,1965
86,son of a preacher man,son of a preacher man,dusty springfield,dusty springfield,240,161,1968
87,paranoid,paranoid,black sabbath,black sabbath,250,391,1970
88,all the young dudes,all the young dudes,mott the hoople,mott the hoople,253,149,1972
89,highway to hell,highway to hell,ac/dc,ac/dc,254,478,1979
90,heart of glass,heart of glass,blondie,blondie,255,19,1978
91,paranoid android,paranoid android,radiohead,radiohead,256,45,1997
92,i can see for miles,i can see for miles,the who,the who,258,182,1967
93,hallelujah,hallelujah,jeff buckley,jeff buckley,259,89,1994
94,roadrunner,roadrunner,the modern lovers,jonathan richman & the modern lovers,269,376,1976
95,something,something,the beatles,the beatles,273,304,1969
96,ziggy stardust,ziggy stardust,david bowie,david bowie,277,480,1972
97,pictures of you,pictures of you,the cure,the cure,278,360,1989
98,walk this way,walk this way,run dmc,run-dmc,287,258,1986
99,stan,stan,eminem feat. dido,eminem,290,340,2000
100,train in vain,(white man) in hammersmith palais,the clash,the clash,292,69,1979
101,street fighting man,(white man) in hammersmith palais,the rolling stones,the clash,295,69,1968
102,one way or another,one way or another,blondie,blondie,298,455,1978
103,like a prayer,like a prayer,madonna,madonna,300,47,1989
104,fight the power,fight the power,public enemy,public enemy,322,95,1989
105,get up (i feel like being a) sex machine,get up (i feel like being) a sex machine,james brown,james brown,326,225,1970
106,subterranean homesick blues,subterranean homesick blues,bob dylan,bob dylan,332,186,1965
107,sweet jane,bitter sweet symphony,"lou reed, the velvet underground",the verve,335,115,1970
108,walk this way,walk this way,aerosmith & run dmc,run-dmc,336,258,1976
109,you keep me hangin' on,you keep me hanging on,diana ross & the supremes,the supremes,339,211,1966
110,who's that lady,there is a light that never goes out,the isley brothers,the smiths,348,12,1973
111,watching the detectives,watching the detectives,elvis costello,elvis costello & the attractions,354,413,1977
112,nowhere to run,nowhere to run,martha reeves and the vandellas,martha & the vandellas,358,191,1965
113,complete control,complete control,the clash,the clash,361,83,1979
114,personal jesus,personal jesus,depeche mode,dépêche mode,368,323,1989
115,fake plastic trees,fake plastic trees,radiohead,radiohead,376,302,1996
116,radio free europe,radio free europe,r.e.m.,r.e.m,379,212,1991
117,bitter sweet symphony,bitter sweet symphony,the verve,the verve,382,115,1997
118,ticket to ride,ticket to ride,the beatles,the beatles,384,311,1965
119,tiny dancer,tiny dancer,elton john,elton john,387,158,1972
120,(don`t fear) the reaper,(don't fear) the reaper,blue oyster cult,blue oyster cult,397,232,1976
121,enter sandman,enter sandman,metallica,metallica,399,362,1991
122,kicks,teenage kicks,paul revere & the raiders,the undertones,400,124,1966
