,rs_song,t_song,rs_artist,t_artist,rs_rank,t_rank,rs_year,t_year
0,billie jean,billie jean,michael jackson,michael jackson,58,2,1983,1982
1,bohemian rhapsody,bohemian rhapsody,queen,queen,163,3,1975,1975
2,smells like teen spirit,smells like teen spirit,nirvana,nirvana,9,4,1991,1991
3,i want zo hold your hand,i want to hold your hand,the beatles,the beatles,16,5,1963,1963
4,i heard it through the grapevine,i heard it through the grapevine,marvin gaye,marvin gaye,80,6,1968,1968
5,stayin' alive,stayin’ alive,the bee gees,bee gees,189,7,1977,1977
6,nothing compares 2 u,nothing compares 2 u,sinead o'connor,sinéad o’connor,162,9,1990,1990
7,hey ya,hey ya!,outkast,outkast,180,10,2003,2003
8,jailhouse rock,jailhouse rock,elvis presley,elvis presley,67,12,1958,1957
9,johnny b. goode,johnny b. goode,chuck berry,chuck berry,7,13,1958,1958
10,superstition,superstition,stevie wonder,stevie wonder,74,15,1973,1972
11,what'd i say (part 1&2),what’d i say,ray charles,ray charles,10,17,1959,1959
12,be my baby,be my baby,the ronettes,the ronettes,22,18,1963,1963
13,that'll be the day,that’ll be the day,"holly, buddy",buddy holly and the crickets,39,20,1957,1957
14,god only knows,god only knows,the beach boys,the beach boys,25,21,1966,1966
15,crazy,crazy,patsy cline,patsy cline,85,24,1961,1961
16,love will tear us apart,love will tear us apart,joy division,joy division,179,26,1980,1980
17,i want you back,i want you back,the jackson 5,the jackson 5,120,27,1969,1969
18,tutti frutti,tutti frutti,little richard,little richard,43,28,1956,1955
19,where did our love go,where did our love go,the supremes,the supremes,472,31,1964,1964
20,heroes,heroes,david bowie,david bowie,46,35,1977,1977
21,kiss,kiss,prince and the revolution,prince,461,37,1986,1986
22,fight the power,fight the power,public enemy,public enemy,322,40,1989,1989
23,baba o'riley,baba o’riley,the who,the who,340,41,1971,1971
24,gimme shelter,gimme shelter,the rolling stones,the rolling stones,38,43,1969,1969
25,crying,crying,roy orbison,roy orbison,69,44,1961,1961
26,i feel love,i feel love,donna summer,donna summer,411,46,1977,1977
27,thunder road,thunder road,bruce springsteen,bruce springsteen,86,49,1975,1975
28,paranoid android,paranoid android,radiohead,radiohead,256,52,1997,1997
29,he stopped loving her today,he stopped loving her today,george jones,george jones,270,53,1980,1980
30,subterranean homesick blues,subterranean homesick blues,bob dylan,bob dylan,332,54,1965,1965
31,i wanna be sedated,i wanna be sedated,the ramones,ramones,144,55,1978,1978
32,california love,california love,tupac shakur,tupac shakur (2pac) with dr. dre & roger troutman,346,57,1996,1996
33,suite judy blue eyes,suite: judy blue eyes,"crosby, stills & nash","crosby, stills & nash",418,58,1969,1969
34,get up (i feel like being a) sex machine,"get up, i feel like being a sex machine",james brown,james brown,326,59,1970,1970
35,folsom prison blues,folsom prison blues,johnny cash,johnny cash,164,60,1956,1955
36,iron man,iron man,black sabbath,black sabbath,310,64,1971,1970
37,never loved a man (the way i love you),i never loved a man the way i love you,aretha franklin,aretha franklin,186,67,1967,1967
38,jolene,jolene,dolly parton,dolly parton,217,71,1974,1973
39,one nation under a groove (part. 1),one nation under a groove,funkadelic,funkadelic,474,73,1978,1978
40,the night they drove old dixie down,the night they drove old dixie down,the band,the band,245,75,1969,1969
41,i've been loving you too long,i’ve been loving you too long,otis redding,otis redding,110,77,1965,1965
42,september girls,september gurls,big star,big star,178,86,1974,1974
43,"shake, rattle and roll",ball and chain,big joe turner,willie mae “big mama’ thornton,126,95,1954,1968
