,nme_song,t_song,nme_artist,t_artist,nme_rank,t_rank
0,billie jean,billie jean,michael jackson,michael jackson,57,2
1,smells like teen spirit,smells like teen spirit,nirvana,nirvana,1,4
2,i want to hold your hand,i want to hold your hand,the beatles,the beatles,156,5
3,i heard it through the grapevine,i heard it through the grapevine,marvin gaye,marvin gaye,46,6
4,nothing compares 2 u,nothing compares 2 u,sinead o' connor,sinéad o’connor,38,9
5,hey ya!,hey ya!,outkast,outkast,18,10
6,jailhouse rock,jailhouse rock,elvis presley,elvis presley,235,12
7,superstition,superstition,stevie wonder,stevie wonder,103,15
8,be my baby,be my baby,the ronettes,the ronettes,9,18
9,god only knows,god only knows,the beach boys,the beach boys,14,21
10,crazy,crazy,patsy kline,patsy cline,203,24
11,gold digger,gold digger,kanye west,kanye west with jamie foxx,93,25
12,love will tear us apart,love will tear us apart,joy division,joy division,2,26
13,i want you back,i want you back,the jacksons,the jackson 5,163,27
14,strange fruit,strange fruit,billy holiday,billie holiday,325,29
15,blue monday,blue monday,new order,new order,8,33
16,“heroes”,heroes,david bowie,david bowie,15,35
17,get yr freak on,get ur freak on,missy elliott,missy “misdemeanor” elliott,86,39
18,fight the power,fight the power,public enemy,public enemy,95,40
19,gimme shelter,gimme shelter,the rolling stones,the rolling stones,29,43
20,common people,common people,pulp,pulp,6,45
21,i feel love,i feel love,donna summer,donna summer,3,46
22,paranoid android,paranoid android,radiohead,radiohead,45,52
23,subterranean homesick blues,subterranean homesick blues,bob dylan,bob dylan,186,54
24,get up (i feel like being) a sex machine,"get up, i feel like being a sex machine",james brown,james brown,225,59
25,99 problems,99 problems,jay-z,jay-z,40,61
26,it's the end of the world (and i feel fine),it’s the end of the world as we know it (and i feel fine),r.e.m,r.e.m.,460,62
27,one nation under a groove,one nation under a groove,funkadelic,funkadelic,319,73
28,wake up,wake up,arcade fire,arcade fire,25,82
29,all my friends,all my friends,lcd soundsystem,lcd soundsystem,91,90
