,rs_song,nme_song,rs_artist,nme_artist,rs_rank,nme_rank,rs_year,t_song,rs_artist13,t_artist,rs_rank13,t_rank,rs_year13,t_year,nme_song23,nme_artist23,t_artist23,nme_rank23,t_rank23
0,,,,,,,,99 problems,,,,,,,99 problems,jay-z,jay-z,40,61.0
1,,,,,,,,all my friends,,,,,,,all my friends,lcd soundsystem,lcd soundsystem,91,90.0
2,baba o'riley,,,,,,,baba o’riley,the who,the who,340,41.0,1971,1971.0,,,,,
3,"shake, rattle and roll",,,,,,,ball and chain,big joe turner,willie mae “big mama’ thornton,126,95.0,1954,1968.0,,,,,
4,be my baby,be my baby,the ronettes,the ronettes,22,9,1963,be my baby,the ronettes,the ronettes,22,18.0,1963,1963.0,be my baby,the ronettes,the ronettes,9,18.0
5,billie jean,billie jean,michael jackson,michael jackson,58,57,1983,billie jean,michael jackson,michael jackson,58,2.0,1983,1982.0,billie jean,michael jackson,michael jackson,57,2.0
6,,,,,,,,blue monday,,,,,,,blue monday,new order,new order,8,33.0
7,bohemian rhapsody,,,,,,,bohemian rhapsody,queen,queen,163,3.0,1975,1975.0,,,,,
8,california love,,,,,,,california love,tupac shakur,tupac shakur (2pac) with dr. dre & roger troutman,346,57.0,1996,1996.0,,,,,
9,,,,,,,,common people,,,,,,,common people,pulp,pulp,6,45.0
10,crazy,crazy,patsy cline,patsy kline,85,203,1961,crazy,patsy cline,patsy cline,85,24.0,1961,1961.0,crazy,patsy kline,patsy cline,203,24.0
11,crying,,,,,,,crying,roy orbison,roy orbison,69,44.0,1961,1961.0,,,,,
12,fight the power,fight the power,public enemy,public enemy,322,95,1989,fight the power,public enemy,public enemy,322,40.0,1989,1989.0,fight the power,public enemy,public enemy,95,40.0
13,folsom prison blues,,,,,,,folsom prison blues,johnny cash,johnny cash,164,60.0,1956,1955.0,,,,,
14,get up (i feel like being a) sex machine,get up (i feel like being) a sex machine,james brown,james brown,326,225,1970,"get up, i feel like being a sex machine",james brown,james brown,326,59.0,1970,1970.0,get up (i feel like being) a sex machine,james brown,james brown,225,59.0
15,,,,,,,,get ur freak on,,,,,,,get yr freak on,missy elliott,missy “misdemeanor” elliott,86,39.0
16,gimme shelter,gimme shelter,the rolling stones,the rolling stones,38,29,1969,gimme shelter,the rolling stones,the rolling stones,38,43.0,1969,1969.0,gimme shelter,the rolling stones,the rolling stones,29,43.0
