,rs_song,nme_song,rs_artist,nme_artist,rs_rank,nme_rank,rs_year,t_song,t_artist,t_rank,t_year
0,,99 problems,,jay-z,,40,,99 problems,jay-z,61.0,
1,,all my friends,,lcd soundsystem,,91,,all my friends,lcd soundsystem,90.0,
2,baba o'riley,,the who,,340,,1971,baba o’riley,the who,41.0,1971.0
3,"shake, rattle and roll",,big joe turner,,126,,1954,ball and chain,willie mae “big mama’ thornton,95.0,1968.0
4,be my baby,be my baby,the ronettes,the ronettes,22,9,1963,be my baby,the ronettes,18.0,1963.0
5,billie jean,billie jean,michael jackson,michael jackson,58,57,1983,billie jean,michael jackson,2.0,1982.0
6,,blue monday,,new order,,8,,blue monday,new order,33.0,
7,bohemian rhapsody,,queen,,163,,1975,bohemian rhapsody,queen,3.0,1975.0
8,california love,,tupac shakur,,346,,1996,california love,tupac shakur (2pac) with dr. dre & roger troutman,57.0,1996.0
9,,common people,,pulp,,6,,common people,pulp,45.0,
10,crazy,crazy,patsy cline,patsy kline,85,203,1961,crazy,patsy cline,24.0,1961.0
11,crying,,roy orbison,,69,,1961,crying,roy orbison,44.0,1961.0
12,fight the power,fight the power,public enemy,public enemy,322,95,1989,fight the power,public enemy,40.0,1989.0
13,folsom prison blues,,johnny cash,,164,,1956,folsom prison blues,johnny cash,60.0,1955.0
14,get up (i feel like being a) sex machine,get up (i feel like being) a sex machine,james brown,james brown,326,225,1970,"get up, i feel like being a sex machine",james brown,59.0,1970.0
15,,get yr freak on,,missy elliott,,86,,get ur freak on,missy “misdemeanor” elliott,39.0,
16,gimme shelter,gimme shelter,the rolling stones,the rolling stones,38,29,1969,gimme shelter,the rolling stones,43.0,1969.0
17,god only knows,god only knows,the beach boys,the beach boys,25,14,1966,god only knows,the beach boys,21.0,1966.0
18,,gold digger,,kanye west,,93,,gold digger,kanye west with jamie foxx,25.0,
19,he stopped loving her today,,george jones,,270,,1980,he stopped loving her today,george jones,53.0,1980.0
20,heroes,“heroes”,david bowie,david bowie,46,15,1977,heroes,david bowie,35.0,1977.0
21,hey ya,hey ya!,outkast,outkast,180,18,2003,hey ya!,outkast,10.0,2003.0
22,i feel love,i feel love,donna summer,donna summer,411,3,1977,i feel love,donna summer,46.0,1977.0
23,i heard it through the grapevine,i heard it through the grapevine,marvin gaye,marvin gaye,80,46,1968,i heard it through the grapevine,marvin gaye,6.0,1968.0
24,never loved a man (the way i love you),,aretha franklin,,186,,1967,i never loved a man the way i love you,aretha franklin,67.0,1967.0
25,i wanna be sedated,,the ramones,,144,,1978,i wanna be sedated,ramones,55.0,1978.0
26,i want zo hold your hand,i want to hold your hand,the beatles,the beatles,16,156,1963,i want to hold your hand,the beatles,5.0,1963.0
27,i want you back,i want you back,the jackson 5,the jacksons,120,163,1969,i want you back,the jackson 5,27.0,1969.0
28,iron man,,black sabbath,,310,,1971,iron man,black sabbath,64.0,1970.0
29,,it's the end of the world (and i feel fine),,r.e.m,,460,,it’s the end of the world as we know it (and i feel fine),r.e.m.,62.0,
30,i've been loving you too long,,otis redding,,110,,1965,i’ve been loving you too long,otis redding,77.0,1965.0
31,jailhouse rock,jailhouse rock,elvis presley,elvis presley,67,235,1958,jailhouse rock,elvis presley,12.0,1957.0
32,johnny b. goode,,chuck berry,,7,,1958,johnny b. goode,chuck berry,13.0,1958.0
33,jolene,,dolly parton,,217,,1974,jolene,dolly parton,71.0,1973.0
34,kiss,,prince and the revolution,,461,,1986,kiss,prince,37.0,1986.0
35,love will tear us apart,love will tear us apart,joy division,joy division,179,2,1980,love will tear us apart,joy division,26.0,1980.0
36,nothing compares 2 u,nothing compares 2 u,sinead o'connor,sinead o' connor,162,38,1990,nothing compares 2 u,sinéad o’connor,9.0,1990.0
37,one nation under a groove (part. 1),one nation under a groove,funkadelic,funkadelic,474,319,1978,one nation under a groove,funkadelic,73.0,1978.0
38,paranoid android,paranoid android,radiohead,radiohead,256,45,1997,paranoid android,radiohead,52.0,1997.0
39,september girls,,big star,,178,,1974,september gurls,big star,86.0,1974.0
40,smells like teen spirit,smells like teen spirit,nirvana,nirvana,9,1,1991,smells like teen spirit,nirvana,4.0,1991.0
41,stayin' alive,,the bee gees,,189,,1977,stayin’ alive,bee gees,7.0,1977.0
42,,strange fruit,,billy holiday,,325,,strange fruit,billie holiday,29.0,
43,subterranean homesick blues,subterranean homesick blues,bob dylan,bob dylan,332,186,1965,subterranean homesick blues,bob dylan,54.0,1965.0
44,suite judy blue eyes,,"crosby, stills & nash",,418,,1969,suite: judy blue eyes,"crosby, stills & nash",58.0,1969.0
45,superstition,superstition,stevie wonder,stevie wonder,74,103,1973,superstition,stevie wonder,15.0,1972.0
46,that'll be the day,,"holly, buddy",,39,,1957,that’ll be the day,buddy holly and the crickets,20.0,1957.0
47,the night they drove old dixie down,,the band,,245,,1969,the night they drove old dixie down,the band,75.0,1969.0
48,thunder road,,bruce springsteen,,86,,1975,thunder road,bruce springsteen,49.0,1975.0
49,tutti frutti,,little richard,,43,,1956,tutti frutti,little richard,28.0,1955.0
50,,wake up,,arcade fire,,25,,wake up,arcade fire,82.0,
51,what'd i say (part 1&2),,ray charles,,10,,1959,what’d i say,ray charles,17.0,1959.0
52,where did our love go,,the supremes,,472,,1964,where did our love go,the supremes,31.0,1964.0
53,(don`t fear) the reaper,(don't fear) the reaper,blue oyster cult,blue oyster cult,397,232,1976,,,,
54,1999,1999,prince,prince,212,313,1982,,,,
55,a change is gonna come,a change is gonna come,sam cooke,sam cooke,12,129,1964,,,,
56,a day in a life,a day in the life,the beatles,the beatles,26,17,1967,,,,
57,all along the watchtower,all along the watchtower,jimi hendrix,jimi hendrix,48,315,1968,,,,
58,all the young dudes,all the young dudes,mott the hoople,mott the hoople,253,149,1972,,,,
59,alone again or,alone again or,love,love,436,141,1967,,,,
60,anarchy in the u.k.,anarchy in the uk,sex pistols,sex pistols,53,84,1976,,,,
61,beast of burden,house of jealous lovers,the rolling stones,the rapture,435,107,1981,,,,
62,bitter sweet symphony,bitter sweet symphony,the verve,the verve,382,115,1997,,,,
63,blitzkrieg bop,blitzkrieg bop,the ramones,ramones,92,237,1976,,,,
64,born to run,born to run,bruce springsteen,bruce springsteen,21,54,1975,,,,
65,buddy holly,buddy holly,weezer,weezer,497,429,1994,,,,
66,california dreamin',california dreaming,the mamas and the papas,the mamas and the papas,89,343,1967,,,,
67,changes,changes,david bowie,david bowie,127,162,1971,,,,
68,come as you are,come as you are,nirvana,nirvana,445,418,1992,,,,
69,come together,come together,the beatles,the beatles,202,336,1969,,,,
70,complete control,complete control,the clash,the clash,361,83,1979,,,,
71,dancing in the street,dancing in the street,martha & the vandellas,martha reeves & the vandellas,40,152,1964,,,,
72,eight miles high,eight miles high,the byrds,the byrds,150,348,1966,,,,
73,eleanor rigby,eleanor rigby,the beatles,the beatles,137,11,1966,,,,
74,enter sandman,enter sandman,metallica,metallica,399,362,1991,,,,
75,fake plastic trees,fake plastic trees,radiohead,radiohead,376,302,1996,,,,
76,family affair,family affair,sly and the family stone,sly and the family stone,138,294,1971,,,,
77,god save the queen,god save the queen,the sex pistols,sex pistols,173,27,1977,,,,
78,good vibrations,good vibrations,the beach boys,the beach boys,6,10,1966,,,,
79,green onions,green onions,booker t & mgs,booker t,181,169,1962,,,,
80,hallelujah,hallelujah,jeff buckley,jeff buckley,259,89,1994,,,,
81,heart of glass,heart of glass,blondie,blondie,255,19,1978,,,,
82,hey joe,hey joe,jimi hendrix,the jimi hendrix experience,198,496,1966,,,,
83,hey jude,hey jude,the beatles,the beatles,8,77,1968,,,,
84,highway to hell,highway to hell,ac/dc,ac/dc,254,478,1979,,,,
85,hound dog,hound dog,elvis presley,elvis presley,19,263,1956,,,,
