,nme_rank,nme_artist,nme_song
0,1,Nirvana ,Smells Like Teen Spirit
1,2,Joy Division ,Love Will Tear Us Apart
2,3,Donna Summer ,I Feel Love
3,4,The Smiths ,How Soon Is Now?
4,5,The Strokes ,Last Night
5,6,Pulp ,Common People
6,7,Arctic Monkeys ,I Bet You Look Good on the Dancefloor
7,8,New Order ,Blue Monday
8,9,The Ronettes ,Be My Baby
9,10,The Beach Boys ,Good Vibrations
10,11,The Beatles ,Eleanor Rigby
11,12,The Smiths ,There Is a Light That Never Goes Out
12,13,Oasis ,Live Forever
13,14,The Beach Boys ,God Only Knows
14,15,David Bowie ,“Heroes”
15,16,The White Stripes ,Seven Nation Army
16,17,The Beatles ,A Day in the Life
17,18,Outkast ,Hey Ya!
18,19,Blondie ,Heart of Glass
19,20,Blur ,Girls & Boys
20,21,The Specials ,Ghost Town
21,22,The La's ,There She Goes
22,23,The Kinks ,Waterloo Sunset
23,24,Bob Dylan ,Hurricane
24,25,Arcade Fire ,Wake Up
25,26,LCD Soundsystem ,Losing My Edge
26,27,Sex Pistols ,God Save the Queen
27,28,The Libertines ,Time for Heroes
28,29,The Rolling Stones ,Gimme Shelter
29,30,Talking Heads ,Once in a Lifetime
30,31,The Stone Roses ,Fools Gold
31,32,The Clash ,London Calling
32,33,Suede ,Animal Nitrate
33,34,David Bowie ,Life On Mars?
34,35,The Beatles ,Strawberry Fields Forever
35,36,Oasis ,Wonderwall
36,37,Ike and Tina Turner ,River Deep Mountain High
37,38,Sinead O' Connor ,Nothing Compares 2 U
38,39,Yeah Yeah Yeahs ,Maps
39,40,Jay-Z ,99 Problems
40,41,Amy Winehouse ,Back to Black
41,42,Blur ,The Universal
42,43,Manic Street Preachers ,A Design for Life
43,44,Pixies ,Debaser
44,45,Radiohead ,Paranoid Android
45,46,Marvin Gaye ,I Heard It Through the Grapevine
46,47,Madonna ,Like a Prayer
47,48,The Cure ,Boys Don't Cry
48,49,Bob Dylan ,Like a Rolling Stone
49,50,Lou Reed ,Walk on the Wild Side
50,51,David Bowie ,Ashes to Ashes
51,52,Daft Punk ,One More Time
52,53,Mia ,Paper Plane
53,54,Bruce Springsteen ,Born to Run
54,55,Kraftwerk ,The Model
55,56,Beastie Boys ,Sabotage
56,57,Michael Jackson ,Billie Jean
57,58,Elvis Presley ,Suspicious Minds
58,59,Primal Scream ,Loaded
59,60,Pulp ,Babies
60,61,New Order ,True Faith
61,62,David Bowie ,Young Americans
62,63,Massive Attack ,Unfinished Sympathy
63,64,The Smiths ,This Charming Man
64,65,Ben E King ,Stand By Me
65,66,NWA ,Straight Outta Compton
66,67,Oasis ,Cigarettes & Alcohol
67,68,The Beatles ,Blackbird
68,69,The Clash ,(White Man) in Hammersmith Palais
69,70,The Who ,My Generation
70,71,Buzzcocks ,Ever Fallen in Love (With Someone You Shouldn't)
71,72,The Velvet Underground ,Venus in Furs
72,73,PJ Harvey ,Sheela-Na-Gig
