,rs_rank,rs_artist,rs_song,rs_year
0,1,Bob Dylan,Like a Rolling Stone,1961
1,2,The Rolling Stones,Satisfaction,1965
2,3,John Lennon,Imagine,1971
3,4,Marvin Gaye,What’s Going on,1971
4,5,Aretha Franklin,Respect,1967
5,6,The Beach Boys,Good Vibrations,1966
6,7,Chuck Berry,Johnny B. Goode,1958
7,8,The Beatles,Hey Jude,1968
8,9,Nirvana,Smells Like Teen Spirit,1991
9,10,Ray Charles,What'd I Say (part 1&2),1959
10,11,The Who,My Generation,1965
11,12,Sam Cooke,A Change is Gonna Come,1964
12,13,The Beatles,Yesterday,1965
13,14,Bob Dylan,Blowin' in the Wind,1963
14,15,The Clash,London Calling,1980
15,16,The Beatles,I Want zo Hold Your Hand,1963
16,17,Jimmy Hendrix,Purple Haze,1967
17,18,Chuck Berry,Maybellene,1955
18,19,Elvis Presley,Hound Dog,1956
19,20,The Beatles,Let It Be,1970
20,21,Bruce Springsteen,Born to Run,1975
21,22,The Ronettes,Be My Baby,1963
22,23,The Beatles,In my Life,1965
23,24,The Impressions,People Get Ready,1965
24,25,The Beach Boys,God Only Knows,1966
25,26,The Beatles,A day in a life,1967
26,27,Derek and the Dominos,Layla,1970
27,28,Otis Redding,Sitting on the Dock of the Bay,1968
28,29,The Beatles,Help,1965
29,30,Johnny Cash,I Walk the Line,1956
30,31,Led Zeppelin,Stairway to Heaven,1971
31,32,The Rolling Stones,Sympathy for the Devil,1968
32,33,Tina Turner,River Deep - Mountain High,1966
33,34,The Righteous Brothers,You've Lost that Lovin' Feelin',1964
34,35,The Doors,Light my Fire,1967
35,36,U2,One,1991
36,37,Bob Marley,No Woman No Cry,1975
37,38,The Rolling Stones,Gimme Shelter,1969
38,39,"Holly, Buddy",That'll be the Day,1957
39,40,Martha & The Vandellas,Dancing in the Street,1964
40,41,The Band,The Weight,1968
41,42,The Kinks,Waterloo Sunset,1968
42,43,Little Richard,Tutti Frutti,1956
43,44,Ray Charles,Georgia On My Mind,1960
44,45,Elvis Presley,Heartbreak Hotel,1956
45,46,David Bowie,Heroes,1977
46,47,Simon and Garfunkel,Bridge over Troubled Water,1970
47,48,Jimi Hendrix,All Along the Watchtower,1968
48,49,The Eagles,Hotel California,1976
49,50,Smokey Robinson & The Miracles,The Tracks of my Tears,1965
50,51,Grandmaster Flash,The Message,1980
51,52,Prince,When Doves Cry,1984
52,53,Sex Pistols,Anarchy in the U.K.,1976
53,54,Percy Sledge,When a man loves a woman,1966
54,55,The Kingsmen,Louie Louie,1963
55,56,Little Richard,Long Tall Sally,1956
56,57,Procol Harum,A Whiter Shade of Pale,1967
57,58,Michael Jackson,Billie Jean,1983
58,59,Bob Dylan,The times they are a changin',1964
59,60,Al Green,Let's Stay together,1971
60,61,Jerry Lee Lewis,Whole Lotta Shakin' Going on,1957
61,62,Bo Diddley,Bo Diddley,1955
62,63,Buffalo Springfield,For what it's Worth,1967
63,64,The Beatles,She Loves you,1963
64,65,Cream,Sunshine of your Love,1968
65,66,Bob Marley,Redemption Song,1980
66,67,Elvis Presley,Jailhouse Rock,1958
67,68,Bob Dylan,Tangled up in Blue,1975
68,69,Roy Orbison,Crying,1961
69,70,Dionne Warwick,Walk on By,1964
70,71,The Beach Boys,California Girls,1965
71,72,James Brown,Papa's Got a Brand New Bag,1966
72,73,Eddie Cochran,Summertime Blues,1958
73,74,Stevie Wonder,Superstition,1973
74,75,Led Zeppelin,Whole Lotta Love,1969
75,76,The Beatles,Strawberry Fields Forever,1967
76,77,Elvis Presley,Mystery Train,1955
77,78,James Brown,I Got You (I Feel Good),1966
78,79,The Byrds,Mr. Tambourine Man,1965
79,80,Marvin Gaye,I Heard it through the Grapevine,1968
80,81,Fats Domino,Blueberry Hill,1956
81,82,The Kinks,You Really Got me,1964
82,83,The Beatles,Norwegian Wood,1965
83,84,The Police,Every Breath you Take,1983
84,85,Patsy Cline,Crazy,1961
85,86,Bruce Springsteen,Thunder Road,1975
86,87,Johnny Cash,Ring of Fire,1963
87,88,The Temptations,My Girl,1965
88,89,The Mamas and the Papas,California Dreamin',1967
89,90,The Five Satins,In the Still of the Night,1956
90,91,Elvis Presley,Suspicious Minds,1969
91,92,The Ramones,Blitzkrieg Bop,1976
92,93,U2,I Still Haven't Found what I Am Looking,1987
93,94,Little Richard,Good Golly Miss Molly,1958
94,95,Carl Perkins,Blue Suede Shoes,1956
95,96,Jerry Lee Lewis,Great Balls of Fire,1957
96,97,Chuck Berry,Roll over Beethoven,1956
97,98,Al Green,Love and Happiness,1972
98,99,CCR,Fortunate Son,1970
99,100,Rolling Stones,You Can’t Always Get What you Want,1969
100,101,Jimi Hendrix,Voodoo Child,1968
101,102,Gene Vincent and his Blue Caps,Be Bop A Lula,1956
102,103,Donna Summer,Hot Stuff,1979
103,104,Stevie Wonder,Living for the City,1973
104,105,Simon and Garfunkel,The Boxer,1969
105,106,Bob Dylan,Mr. Tambourine Man,1965
106,107,Buddy Holly,Not Fade Away,1957
107,108,Prince,Little Red Corvette,1983
108,109,Van Morrison,Brown Eyed Girl,1967
109,110,Otis Redding,I've Been Loving you too Long,1965
110,111,"Hank Williams, Sr.",I'm so Lonesome I Could Cry,1949
111,112,Elvis Presley,That's All Right,1954
112,113,The Drifters,Up on the Roof,1962
113,114,The Crystals,Da doo ron ron,1963
114,115,Sam Cooke,You Send me,1957
115,116,Rolling Stones,Honky Tonk Woman,1969
116,117,Al Green,Take me to the River,1974
117,118,The Isley Brothers,Shout (part 1 & 2),1959
118,119,Fleetwood Mac,Go your Own Way,1977
119,120,The Jackson 5,I Want you Back,1969
120,121,Ben E. King,Stand by me,1961
121,122,The Animals,House of the Rising Sun,1964
122,123,James Brown,It's a Man's Man's World,1966
123,124,Rolling Stones,Jumpin' Jack Flash,1968
124,125,The Shirelles,Will you Love me Tomorrow,1960
125,126,Big Joe Turner,"Shake, Rattle and Roll",1954
126,127,David Bowie,Changes,1971
127,128,Chuck Berry,Rock and Roll Music,1957
128,129,Steppenwolf,Born to Be Wild,1968
129,130,Rod Stewart,Maggie May,1971
130,131,U2,With or without you,1987
131,132,Bo Diddley,Who Do you Love,1957
132,133,The Who,Won't Get Fooled Again,1971
133,134,Wilson Picket,In the Midnight Hour,1965
134,135,The Beatles,While My Guitar Gently Weeps,1968
135,136,Elton John,Your Song,1970
136,137,The Beatles,Eleanor Rigby,1966
137,138,Sly and the Family Stone,Family Affair,1971
138,139,The Beatles,I Saw her Standing there,1964
139,140,Led Zeppelin,Kashmir,1975
140,141,The Everly Brothers,All I Have to Do is Dream,1958
141,142,James Brown,"Please, Please, Please",1956
142,143,Prince,Purple Rain,1984
143,144,The Ramones,I Wanna Be Sedated,1978
144,145,Sly & Family Stone,Everyday People,1968
145,146,The B-52's,Rock Lobster,1979
146,147,Iggy Pop,Lust for Life,1977
147,148,Janis Joplin,Me and Bobby McGee,1971
148,149,The Everly Brothers,Cathy's Clown,1960
149,150,The Byrds,Eight Miles High,1966
150,151,The Penguins,Earth Angel,1954
151,152,Jimi Hendrix,Foxy Lady,1965
152,153,The Beatles,Hard Day's Night,1964
153,154,Buddy Holly,Rave On,1958
154,155,CCR,Proud Mary,1969
155,156,Simon & Garfunkel,The Sound of Silence,1965
156,157,The Flamingos,I Only Have Eyes for you,1959
157,158,Bill Haley,Rock around the clock,1954
158,159,Lou Reed The Velvet Underground,I'm Waiting for the Man,1967
159,160,Public Enemy ft. Anthrax,Bring the Noise,1988
160,161,Ray Charles,I Can't Stop Loving you,1962
161,162,Sinead O'Connor,Nothing Compares 2 U,1990
162,163,Queen,Bohemian Rhapsody,1975
163,164,Johnny Cash,Folsom Prison Blues,1956
164,165,Tracy Chapman,Fast Car,1988
165,166,Eminem,Lose yourself,2002
166,167,Marvin Gaye,Let’s Get it on,1973
167,168,The Temptations,Papa Was a Rollin' Stone,1972
168,169,R.E.M.,Losing my Religion,1991
169,170,Joni Mitchell,Both Sides Now,1969
170,171,Abba,Dancing Queen,1976
171,172,Aerosmith,Dream on,1973
172,173,The Sex Pistols,God Save the Queen,1977
173,174,Rolling Stones,Paint it Black,1966
174,175,Bobby Fuller Four,I Fought the Law,1966
175,176,The Beach Boys,Don't Worry Baby,1964
176,177,Tom Petty,Free Fallin',1989
177,178,Big Star,September Girls,1974
178,179,Joy Division,Love Will Tear us Apart,1980
179,180,Outkast,Hey ya,2003
180,181,Booker T & MGs,Green Onions,1962
181,182,Drifters,Save the Last Dance for Me,1960
182,183,BB King,The Thrill is Gone,1969
183,184,The Beatles,"Please, Please me",1964
184,185,Bob Dylan,Desolation Row,1965
185,186,Aretha Franklin,Never Loved a Man (the Way I Love you),1967
186,187,AC/DC,Back in Black,1980
187,188,CCR,Who'll Stop the Rain,1970
188,189,The Bee Gees,Stayin' Alive,1977
189,190,Bob Dylan,Knocking on Heavens Door,1973
190,191,Lynyrd Skynyrd,Free bird,1973
191,192,Glen Campbell,Wichita Lineman,1968
192,193,The Drifters,There Goes my Baby,1959
193,194,Buddy Holly,Peggy Sue,1957
194,195,The Chantels,Maybe,1957
195,196,Guns n Roses,Sweet Child o Mine,1987
196,197,Elvis Presley,Don't Be Cruel,1956
197,198,Jimi Hendrix,Hey Joe,1966
198,199,Parliament Funkadelic,Flashlight,1977
199,200,Beck,Loser,1993
200,201,New Order,Bizarre Love Triangle,1986
201,202,The Beatles,Come Together,1969
202,203,Bob Dylan,Positively 4th Street,1965
203,204,Otis Redding,Try a Little Tenderness,1966
204,205,Bill Withers,Lean on Me,1972
205,206,The Four Tops,Reach out I'll Be There,1966
206,207,The Everly Brothers,Bye Bye Love,1957
207,208,Them,Gloria,1965
208,209,The Beach Boys,In my Room,1963
209,210,Question Mark and the Mysterians,96 Tears,1966
210,211,The Beach Boys,Caroline No,1966
211,212,Prince,1999,1982
